Part Name,Quantity
M3x30 BHCS,16
M3x35 BHCS,16
M5x40 SHCS,16
Printed_Hybrid_V2_Z_joint_spacer_NP,4
Printed_V2_Z_belt_clamp,8
Printed_V2_Z_joint_a,4
Printed_V2_Z_joint_b,4
_MGN9H,8
