Part Name,Quantity
2MGT 6mm belt,BOM amount
F695 flanged bearing,20
GT2 20T 6mm pulley,2
KW10 microswitch,2
M2x10 self-tapping screw,4
M3 2020 drop-in T-nut,3
M3 washer,2
M3x12 SHCS,1
M3x16 SHCS,8
M3x30 BHCS,8
M3x40 BHCS,2
M3x6 FHCS,8
M5 2020 drop-in T-nut,29
M5 hex nut,8
M5x10 BHCS,24
M5x16 BHCS,9
M5x30 BHCS,6
M5x40 SHCS,10
NEMA17,2
Shim 1mm,22
